,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
12210,2020-09-26,DE-HH,83.800187,234929.276515,2381904.481061,10.88531800000004,0.010711,10.05303,2.943782
12211,2020-09-26,DE-MV,88.209665,195451.980449,2378395.425632,11.71649700000006,0.009193999999999999,5.840293,4.1022099999999995
12212,2020-09-26,DE-NI,85.308673,663886.966034,2371152.637061,10.34976400000005,0.015988,9.538741,2.824282
12213,2020-09-26,DE-NW,86.860502,432772.576139,2343103.748366,9.895376999999996,0.018940000000000002,8.393735000000001,3.258898
12214,2020-09-26,DE-RP,86.101361,842149.677743,2307372.001785,8.867465000000038,0.01395,9.176121,5.452719999999999
12215,2020-09-26,DE-SH,84.60684,1129016.770184,2386743.089477,11.379219000000035,0.006257,6.559428,3.9165419999999997
12216,2020-09-26,DE-SL,86.86876,1148926.899287,2312976.502038,8.20474500000006,0.012317,8.929348,6.95377
12217,2020-09-26,DE-SN,92.799128,6262.086475,2308239.781409,7.242752000000053,0.028308999999999997,6.736842,4.026569
12218,2020-09-26,DE-ST,89.264992,23786.940436,2356202.08128,9.352681000000018,0.024991,7.711291,2.928128
12219,2020-09-26,DE-TH,88.77659799999999,69666.013785,2291466.86715,7.616590000000031,0.015799,8.368696,2.555806
12258,2020-09-27,DE-BB,86.865044,620492.024331,2392798.391727,9.617145999999991,0.0028280000000000002,8.109716,2.089604
12259,2020-09-27,DE-BE,84.615734,738920.186407,2397498.744755,9.938346000000024,0.0019879999999999997,12.076922999999999,2.1426279999999998
12260,2020-09-27,DE-BW,79.092574,3272652.607291,2276609.938526,8.014049000000057,0.0033469999999999997,12.743702,3.52455
12261,2020-09-27,DE-BY,78.61954300000001,6187082.655408001,2262012.281987,8.355269000000021,0.000921,15.004876999999999,2.606904
12262,2020-09-27,DE-HB,87.031516,233523.834335,2404984.233974,12.159608999999989,0.001274,9.141026,2.898504
12263,2020-09-27,DE-HE,85.788003,799046.703988,2322696.804279,8.953665,0.003878,7.2104479999999995,2.727944
12264,2020-09-27,DE-HH,90.507919,49905.497011,2401059.960227,11.287245000000041,0.002535,6.522727,2.506976
12265,2020-09-27,DE-MV,92.29114399999999,44755.944518000004,2399192.339302,10.584517000000005,0.006163,5.7997559999999995,2.7271919999999996
12266,2020-09-27,DE-NI,86.959245,668626.284278,2388587.294956,11.176604999999995,0.001064,7.762347999999999,2.2726900000000003
12267,2020-09-27,DE-NW,84.467166,1050749.0443290002,2356719.045245,10.536098000000038,0.0038380000000000003,8.518367999999999,2.475648
12268,2020-09-27,DE-RP,87.671802,642520.5281390001,2316750.532031,9.372419000000036,0.012555,8.571599,2.8815880000000003
12269,2020-09-27,DE-SH,91.18966800000001,230124.897549,2403862.183199,13.31823300000002,0.003669,5.936104,2.8821830000000004
12270,2020-09-27,DE-SL,93.40944300000001,374110.437712,2318253.2914400003,8.701754999999991,0.016827,9.263587,3.470211
12271,2020-09-27,DE-SN,83.082022,932973.3041700001,2329194.373514,8.424440000000004,0.00019099999999999998,6.725382000000001,2.774202
12272,2020-09-27,DE-ST,83.62551500000001,1197849.602772,2376260.178742,9.72341700000004,0.000714,6.386171,2.0429
12273,2020-09-27,DE-TH,84.621066,779236.908302,2308722.2221689997,8.285893000000044,0.000408,7.068506,2.7332799999999997
12312,2020-09-28,DE-BB,75.062729,8191675.270900999,2409841.599925,12.749845999999991,0.00031099999999999997,15.116997,2.085902
12313,2020-09-28,DE-BE,70.658275,8934670.461538,2414577.966783,13.795247000000018,0.00011599999999999999,16.0,2.451777
12314,2020-09-28,DE-BW,76.292674,6627035.988676,2293410.224925,9.200131999999996,0.000312,18.854171,1.8265419999999999
12315,2020-09-28,DE-BY,85.387196,4376393.134693,2277027.75463,7.768407000000025,0.002902,12.53438,1.503392
12316,2020-09-28,DE-HB,89.081461,151812.66676700002,2419866.349359,12.511907000000008,0.000292,6.128205,2.661004
12317,2020-09-28,DE-HE,78.911025,3755479.8162050005,2340648.595406,10.197029999999984,0.000174,11.527973,2.1783099999999997
12318,2020-09-28,DE-HH,87.07373299999999,1665496.980114,2416503.761364,12.162806000000046,0.000168,9.219697,1.942582
